Doctor Name,Speciality,Professional Degree,Consultation Time,Available days,Contact,Email,Location
Dr. X Reenus Demel,Consultant Cardiothoracic Surgeon,"MBBS, MS (General Surgery), MCh (Cardiothoracic Surgery)",8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Naveen Jasmine,HOD of Critical Care Medicine,"MBBS, MD (Anaesthesia), EDIC (UK), Fellowship in Critical Care Medicine, Fellowship in ECMO",8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Shaigi Shamsudeen,Senior Consultant,"MBBS, DA (Anaesthesia), Fellowship in Critical Care Medicine",8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Sudheer Jeshurun D,Consultant,"MBBS, Fellowship in Critical Care Medicine",8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Akhilesh V U,Consultant,"MBBS, MD (Anaesthesia), DrNB (Critical Care Medicine)",8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. K Rajagopal Nair,Consultant Dermatologist,"MBBS, DVD",10AM to 1PM,Not available on: Friday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Punnya Treesa Johncy,Jr. Consultant Dermatologist,"MBBS, MD",9.30am to 1pm,Not available on: Monday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Sahir N Abdulla,Consultant ENT Surgeon,"MBBS, MS (ENT)",10AM to 1PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
DR.BINSA BASHEER,Consultant ENT Surgeon,"MBBS,MS(ENT),DNB(ENT),FELLOWSHIP IN VERTIGO",9.30 AM to 3 PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Govind Mohandas,Jr. Consultant ENT Surgeon,"MBBS, MS (ENT)",8.30 AM to 1 PM,Not available on: Monday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Adersh S Pillai,Consultant ENT Specialist,"MBBS,MS(Oto-Rhino-Laryngology),Fellowship in Laryngology & Phonosurgery",9am to 1pm,Not available on: Thursday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Praseeda Prasad,Registrar,"MBBS, MS (ENT)",2.30PM to 6PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. K. Salil Kumar,Sr. Consultant ENT Surgeon,"MBBS, DLO, MS (ENT)",10.30 AM to 4PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. C John Panicker,Head & Neck Surgeon Consultant ENT,"MS, DLO",10.30 AM to 4PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Tittu Oommen,Consultant Endocrinologist,"MBBS, MD, DM (Endocrinology)",00 AM to 3 PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Aromal Chekavar S,Consultant Endocrinologist,"MBBS, MS (Gen Surgery), MCH (Endocrine Surgery)",4PM to 6PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Ravishankar P,Consultant Reproductive Medicine,MS (Obg),9AM - 3PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Krishnan Nair C S,Senior Consultant - General Surgery,"MBBS, MS",9AM to 3PM,Not available on: Tuesday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. John Sajit Edwin,Senior Consultant Surgeon,"MBBS, MS",9AM to 1PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Vinu Sankar V S,Consultant General Surgeon,MBBS MS(Gen Surg),9am to 5pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. M A Kishor,Consultant - Oral Maxillo Facial Surgery,"BDS, MDS (OMFS), PGDHM",8.30AM to 11AM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Segin Chandran,Visiting Consultant,"BDS, MDS, PCAD (PG Certificate in Aesthetic Dentistry)",8.30AM to 11AM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
DR.VISHNU R KRISHNAN,CONSULTANT GENERAL SURGEON,"MBBS,MS(Gen Sur)",9am to 2pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. ANJANA G VARIER,Consultant Rheumatologist,"MBBS,MD(General Medicine), MRCP(UK), Post Doctoral Fellowship in dvanced Arthritis, Rheumatism & Autoimmunity, SCE Rheumatology",9AM to 1PM,Not available on: Tuesday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Sreelakshmi Sreenath,Registrar,"MBBS, Rheumatology",9AM to 1PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Jayakumar R Menon,Senior Consultant Laryngology,"MBBS, DLO, DNB (ENT)",9AM to 1PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Manju E Issac,Consultant Laryngology,"MBBS, DLO, DNB(ENT),MNAMS,FELLOWSHIP IN LARYNGOLOGY & PHONOSURGERY",3pm to 5 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Adersh S Pillai,Consultant ENT Specialist & Laryngologist,"MBBS,MS(Oto-Rhino-Laryngology),Fellowship in Laryngology & Phonosurgery",9am to 1pm,Not available on: Thursday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Sabarinath H S,Consultant Laryngology,"MBBS, MS (ENT) , Fellowship in Laryngology & Phonosurgery",10AM to 1PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Rakesh S,Consultant Gastroenterologist,"MBBS, MD (GM), DM (Gastro)",9AM - 3PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
PONNI KRISHNAN.G,Consultant  Gastroenterologist,"MBBS,MD(Gen Med),DM(Gastroenterology)",10AM to 4PM,Not available on: Saturday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr.ANUPA ACHAMMA THOMAS,Consultant Pediatric Gastroenterologist,"MBBS,MD(Ped),Fellowship in Pediatric Gastroenterology & Hepatology)",9 am to 2 pm,Not available on: Monday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Geetha M Nair,Consultant Nephrologist,"MBBS, MD, DM (Nephro)",9AM to 2PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Janak Giridhar,Consultant Nephrologist,"MD (Gen Med), DM (Nephro)",8.30AM to 4 PM,Not available on: Saturday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Jacob George,Senior Consultant Nephrologist,"MBBS, MD, DM (Nephro), DNB (Nephro )",9AM to 2PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Karthik Raj,Consultant Neonatologist,"MBBS, MD",9AM to 1PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
DR.AFIZ ABDUL AZIZ,Associate Neonatologist,"MBBS,MD(Paediatrics),FNNF",8am to 4pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. R Anandam,Chief Consultant Paediatric Neurologist,"MBBS, MD (Paed), DM (Neuro)",11AM to 1PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Sinchu C Maniangatt,Consultant Neurologist,"MBBS, DNB (Med), DNB (Neuro)",9AM - 2PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Divya S,Consultant Neurologist,"MD, DM (Gen Med), DM (Neuro)",9AM to 2PM,Not available on: Saturday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Gayathri Sreekumar,Consultant,"MD( Gen Med), DM( Neurology)",2 pm to 7 pm,Not available on: Monday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
AHAMED SUBIR H,Consultant Neurovascular Interventionist,"MBBS, MD(Internal Medicine), DM(Neurology), DNB(Neurology), MNAMS",9am to 2pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Janardhanan Potty,HOD & Chief Consultant Neurosurgeon,"MS (Gen Surg), MCh (Neurosurgery)",9am to 1pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Anand Binu,Consultant Neurosurgeon,"MBBS, MS, MCh (Neurosurgery)",9am to 3pm,Not available on: Friday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Bagatheesh. S,Consultant Neurosurgeon,"MBBS, DNB(Neurosurgery)",9am to 1pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Rajeswari Balakrishnan,Consultant Gynecologist,"MBBS, DGO, MD (Ob & G)",4pm to 7pm,Not available on: Saturday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Aysha P V,Sr. Consultant Gynecologist,"MBBS, MD",9AM - 1PM,Not available on: Saturday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Binitha Segin,Consultant Gynecologist,"MBBS, DNB (Obs & Gyn), MNAMS",9AM to 1PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Sindhu M S,Consultant Gynecologist,"MBBS, DGO, DNB",9AM - 2PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Bala Sreedevi,Consultant Gynecologist,"MBBS, DGO, MD, DNB",9AM - 2PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Chitra Sureshkumar,Consultant Gynaecologist,"MBBS, DGO, DNB (CMC Vellore), MRCOG",9.00 AM - 2PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Jyothy Vijayan,Consultant Gynecologist,"MBBS, DGO, DNB",4PM to 8PM,Not available on: Friday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Ravishankar. P,Visiting Consultant - Fertility Specialist,MS (Obg),5 pm to 7pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Manasa S,Consultant Ophthalmologist,"MBBS, MD Ophthalmology (AIIMS, New Delhi)",9AM to 1PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Minu Sasikumar,Consultant Ophthalmologist,"MBBS, MS (Ophthalmology)",3PM to 6PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Ramadas Kunnambath,Director - Clinical Operation and Allied Services,"MD, DNB, FAMS, PhD Former Additional Director & Head of Radiation Oncology, Regional Cancer Center",3PM to 6PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Mintu Mathew Abraham,Consultant Medical Oncologist,"MBBS, MD (Radiation Oncology), DNB, MBA(Hospital Administration), DM (Medical Oncology), DrNB, ECMO, FCPM",3PM to 6PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Aswathy G Nath,Consultant Gynaecological Oncologist,"MBBS, DNB(OBG), MS(OBG), Fellowship (Gynaecological Oncology)",3PM to 6PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Chepsy C Philip,Consultant Clinical Haematologist,"MBBS, MD, DM (Clinical Haematology)",8.30 AM to 12 PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
G S JEEVAN,Consultant  Surgical Oncologist,"MBBS,DNB(Gen Surg(, MCh(Surgical Oncology), MRCS(UK),D.MAS,F.MAS",4PM to 7PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Parvathy Rajasekharan,Consultant Clinical Oncologist,MD (Radiation Oncology),4PM to 7PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Moni A Kuriakose,Visiting Consultant,"MBCHB, FDSRCS, FFDRCS, FRCS, FRCS Ed., FRCS, MD",4PM to 7PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Sandeep Kumar Behera,Consultant Surgical Oncologist,"MBBS, MS (General Surgery), MCH (Surgical Oncology)",4PM to 7PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Kiran K S,Visiting Consultant,"BDS, MDS, Fellowship in Dental Implantology",4PM to 7PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. M A Kishor,Consultant - Oral Maxillo Facial Surgery,"BDS, MDS (OMFS), PGDHM",8.30AM to 11AM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Segin Chandran,Visiting Consultant,"BDS, MDS, PCAD (PG Certificate in Aesthetic Dentistry)",8.30AM to 11AM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Sankar Jayaram,Consultant,"BDS, MDS",6PM to 9PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Rajesh K,Consultant Orthopaedic Surgeon,"MBBS,MS (Ortho)",2PM - 6PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Vishnu R Unnithan,Consultant Orthopaedician & Arthroscopic Specialist,"MBBS, D. ORTHO, DNB (Ortho)",9AM to 1.30PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Praveen S Jose,Consultant Orthopaedician,MS (Ortho),4PM to 6PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Arshad A R,Consultant - Orthopaedic Surgeon,"MBBS, MS (Ortho)",10 AM to 1 PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
DR.RENY GILBERT,Registrar,"MBBS,MS(ORTHO)",9am to 1pm,Not available on: Saturday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
T S Balagopal,Jr.Consultant Orthopaedician,"MBBS,Diploma in Orthopaedics,DNB(Ortho)",2PM to 5PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
NIBIN SANIL,Jr.Consultant Orthopaedician,"MBBS,MS(Ortho)",5 PM to 8 PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Amrita Vijay,Sr Consultant Paediatrician,"MBBS, MD (Paed)",9AM to 3PM,Not available on: Monday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. A Padmanabhan,Consultant Paediatrician,"MBBS, DCH, MD (Paed)",9AM to 3PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Pradeep Kidangoor,Senior Consultant Paediatrician,"MBBS, MD (Paed)",4PM to 6PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr . Gisi Shibu,Consultant in Neuropaediatrics & Developmental Pediatrics,"MBBS,MD(paediatric)",2PM to 4 PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
APARNA A J,Consultant Paediatrician,"MBBS,MD(Paediatrics),DNB (Paediatrics)",2 PM to 8 PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
DR.ANUPA ACHAMMA THOMAS,Consultant Pediatric Gastroenterologist,"MBBS,MD(Ped),Fellowship in Pediatric Gastroenterology & Hepatology)",9 am to 2 pm,Not available on: Monday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
DR.TEENU JOSE,CONSULTANT PEDIATRICIAN,"MBBS,MD(Paed)",2pm to 8pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Aiswarya Mohan S,Consultant Pediatrician,"MBBS,MD(Pediatrics)",2pm to 8pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
DR. R Senthilnathan,Chief Consultant  & HOD -Dept of Paediatric Surgery  & Senior Director-Surgical Departments & OT,"MBBS,MS(Gen Surg),MCh(Paed. Surgery)",10.30 AM to 11.30 AM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. J Padmakumar,Senior Consultant,"MBBS, MS (Gen Surgery), MCh (Plastic Surgery)",9AM to 1PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Manoj G,Consultant,"MBBS, MS, DNB (Plastic Surgery)",9AM to 1PM,Not available on: Friday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
LISHA N P,Consultant,"MBBS,MS,MCh(Plastic & Reconstructive Surgery), Dr.NB(Plastic & Reconstructive Surgery)",3 PM to 6 PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Balachandran H,Consultant Psychiatrist,"MBBS, DPM",9AM - 1PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Arun Mohan S,Consultant Psychiatrist,"MBBS, MD (Psychiatry)",3.30PM to 7PM,Not available on: Saturday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Preetha P Nair,Consultant Psychologist,"M. Phil, PhD",1.30PM to 4.30PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Arjun S,Consultant/ HOD - Physical Medicine & Rehabilitation,MD (PMR),9AM - 4PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Vishnu R Unnithan,Consultant Orthopaedician & Arthroscopic Specialist,"MBBS, D. ORTHO, DNB (Ortho)",9AM to 1.30PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Binu Krishnan,Consultant Pulmonologist,"MBBS, DTCD, MD (Tubercul), MD (GM) DM (Respiratory Med)",9AM to 1PM,Not available on: Thursday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Vivek P,Consultant Pulmonologist,"MBBS, DTCD, DNB",10.30AM to 2.30PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Shanu S,Consultant Pulmonologist,MD (Respiratory Medicine),9 AM to 4 PM,Not available on: Friday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Madhurima A S,Jr. Consultant,"MBBS, MD(Pulmonology) , DNB (Respiratory Medicine)",9.30AM to 1.30 PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr.Arya G Krishnan,Jr.Consultant Radiologist,"MD(Radiodiagnosis), DNB (Radiodiagnosis)",9.30AM to 1.30 PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
